THD Ratio -> Specify Data Points,,
DUT_WA001,,
X,Y,
Hz,%,
112,54.02098339,
118,52.8666354,
125,54.37531434,
132,33.53554824,
140,32.15396938,
150,14.46761213,
160,15.86253087,
170,8.391168589,
180,11.07557608,
190,22.32224539,
200,13.49194025,
212,18.59445182,
224,17.7740451,
236,16.97434212,
250,20.55851212,
265,21.7710474,
280,23.07257999,
300,21.12601624,
315,21.9585247,
335,19.55561831,
355,16.18452352,
375,13.96195627,
400,13.39655474,
425,10.53674856,
450,8.92146817,
475,8.398825067,
500,7.042637664,
530,5.170294273,
560,4.362238517,
600,4.131357316,
630,4.132676023,
670,4.480091768,
710,5.036334908,
750,5.537771295,
800,5.857168804,
850,5.374799469,
900,6.087867937,
950,5.515544311,
1000,4.915459729,
1060,5.223175861,
1120,4.794462453,
1180,4.017303992,
1250,4.214392758,
1320,4.4948063,
1400,4.797496379,
1500,4.480990617,
1600,3.010797042,
1700,2.265965365,
1800,1.935205601,
1900,2.643496051,
2000,3.463986849,
2120,5.636471754,
2240,6.909486123,
2360,7.664454902,
2500,7.560040659,
2650,4.402367653,
2800,3.60567447,
3000,9.461490189,
3150,38.90214227,
3350,43.37871089,
3550,27.12116317,
3750,31.34136593,
4000,14.1414144,
4250,6.166209009,
4500,2.778477079,
4750,1.230863909,
5000,0.634312414,
5300,0.416137737,
5600,0.225192476,
6000,0.226376495,
6300,0.244777754,
6700,0.404094632,
7100,0.422554872,
7500,0.375072001,
8000,0.399906868,
8500,0.2579437,
9000,0.165258818,
9500,0.18632601,
10000,0.353371924,
,,
RMS Level -> Specify Data Points,,
DUT_WA001,,
X,Y,
Hz,dBSPL,
100,66.65530625,
106,65.35239896,
112,56.64317956,
118,62.7263452,
125,54.42225288,
132,60.87069402,
140,60.07821796,
150,64.22367632,
160,64.95115457,
170,63.00260059,
180,66.44380794,
190,61.27848905,
200,65.86142408,
212,64.83515736,
224,67.0204866,
236,67.90016009,
250,68.22466395,
265,69.38479188,
280,69.94612001,
300,71.22329201,
315,71.48479379,
335,72.9459907,
355,74.4050409,
375,76.63343731,
400,77.82422307,
425,79.78973043,
450,80.27418772,
475,81.06243069,
500,81.97070797,
530,83.52150233,
560,85.4401796,
600,87.2902027,
630,87.96844792,
670,89.29384742,
710,90.12567703,
750,91.20404735,
800,92.29979259,
850,92.71845423,
900,92.33583693,
950,93.28600614,
1000,93.85811203,
1060,92.69468311,
1120,92.88140962,
1180,93.34641502,
1250,93.27114128,
1320,93.10534572,
1400,92.82979283,
1500,92.59739149,
1600,92.83228755,
1700,92.31610454,
1800,93.48896441,
1900,92.8857482,
2000,93.58107244,
2120,93.45904323,
2240,93.64471911,
2360,92.68817389,
2500,93.24521245,
2650,93.92772204,
2800,94.65880407,
3000,94.90892696,
3150,94.9986059,
3350,93.44184922,
3550,90.89896599,
3750,94.00980812,
4000,94.09543211,
4250,95.61501091,
4500,96.31462472,
4750,97.58071826,
5000,98.89093822,
5300,99.72818225,
5600,100.1000874,
6000,102.651105,
6300,105.3933899,
6700,106.6111777,
7100,106.6985473,
7500,106.8539663,
8000,103.7375514,
8500,101.9366803,
9000,99.49549709,
9500,95.2597788,
10000,93.09814522,
,,
RMS Level -> Specify Data Points,,
DUT_WA002,,
X,Y,
Hz,dBSPL,
100,75.89749658,
106,79.21074691,
112,80.5184833,
118,78.21697282,
125,76.79989088,
132,76.92835739,
140,76.12701794,
150,72.95563081,
160,71.01893746,
170,73.29637168,
180,71.60336299,
190,70.15935335,
200,73.93982936,
212,69.48152609,
224,69.72794377,
236,70.89194921,
250,60.60223371,
265,72.90725383,
280,71.82984792,
300,72.24531242,
315,68.98738146,
335,72.04165651,
355,74.53874172,
375,77.0122623,
400,77.68755023,
425,79.53247318,
450,80.23206367,
475,81.24978398,
500,82.21369698,
530,83.57677844,
560,85.52870246,
600,87.3702214,
630,88.08873855,
670,89.39383133,
710,90.19909712,
750,91.2386305,
800,92.31829283,
850,92.73938446,
900,92.32894769,
950,93.27233954,
1000,93.87164696,
1060,92.71179174,
1120,92.85210342,
1180,93.3039774,
1250,93.23127651,
1320,93.07829028,
1400,92.79815764,
1500,92.55474631,
1600,92.78453743,
1700,92.29039321,
1800,93.44149504,
1900,92.86835974,
2000,93.55146595,
2120,93.43432457,
2240,93.60048901,
2360,92.66493347,
2500,93.22793184,
2650,93.93031107,
2800,94.61038965,
3000,94.86076303,
3150,94.97904825,
3350,123.4702791,
3550,140.7951859,
3750,93.95614979,
4000,93.9703691,
4250,95.56516783,
4500,96.2894631,
4750,97.58409151,
5000,98.79742402,
5300,99.6822688,
5600,100.0621213,
6000,102.6527055,
6300,105.3134252,
6700,106.5910234,
7100,106.7798803,
7500,106.8730787,
8000,103.7474262,
8500,101.9356245,
9000,99.49460187,
9500,95.20240685,
